Loaded expectmax lib for 2048: /cluster/home/it_stu9/2048-api/game2048/expectimax/bin/2048.so
score: 2048	#353 	 loss:0.678 	 acc:0.677
score: 2048	#354 	 loss:0.674 	 acc:0.682
score: 1024	#355 	 loss:0.685 	 acc:0.677
score: 1024	#356 	 loss:0.676 	 acc:0.684
score: 1024	#357 	 loss:0.675 	 acc:0.685
score: 2048	#358 	 loss:0.677 	 acc:0.684
score: 4096	#359 	 loss:0.674 	 acc:0.683
score: 1024	#360 	 loss:0.675 	 acc:0.683
score: 128	#361 	 loss:0.679 	 acc:0.678
score: 4096	#362 	 loss:0.674 	 acc:0.682
score: 2048	#363 	 loss:0.672 	 acc:0.684
score: 2048	#364 	 loss:0.678 	 acc:0.684
score: 1024	#365 	 loss:0.679 	 acc:0.682
score: 512	#366 	 loss:0.672 	 acc:0.687
score: 2048	#367 	 loss:0.694 	 acc:0.674
score: 2048	#368 	 loss:0.678 	 acc:0.681
score: 2048	#369 	 loss:0.676 	 acc:0.681
score: 1024	#370 	 loss:0.683 	 acc:0.674
score: 512	#371 	 loss:0.680 	 acc:0.680
score: 1024	#372 	 loss:0.681 	 acc:0.677
score: 1024	#373 	 loss:0.681 	 acc:0.678
score: 1024	#374 	 loss:0.679 	 acc:0.673
score: 1024	#375 	 loss:0.682 	 acc:0.678
score: 2048	#376 	 loss:0.682 	 acc:0.679
score: 256	#377 	 loss:0.682 	 acc:0.679
score: 1024	#378 	 loss:0.677 	 acc:0.684
score: 1024	#379 	 loss:0.677 	 acc:0.682
score: 1024	#380 	 loss:0.683 	 acc:0.676
score: 2048	#381 	 loss:0.675 	 acc:0.684
score: 1024	#382 	 loss:0.677 	 acc:0.680
score: 512	#383 	 loss:0.674 	 acc:0.687
score: 1024	#384 	 loss:0.683 	 acc:0.676
score: 2048	#385 	 loss:0.680 	 acc:0.681
score: 2048	#386 	 loss:0.682 	 acc:0.678
score: 2048	#387 	 loss:0.673 	 acc:0.683
score: 2048	#388 	 loss:0.684 	 acc:0.681
score: 2048	#389 	 loss:0.674 	 acc:0.682
score: 1024	#390 	 loss:0.677 	 acc:0.679
score: 1024	#391 	 loss:0.676 	 acc:0.680
score: 2048	#392 	 loss:0.667 	 acc:0.685
score: 1024	#393 	 loss:0.671 	 acc:0.685
score: 2048	#394 	 loss:0.684 	 acc:0.676
score: 1024	#395 	 loss:0.674 	 acc:0.682
score: 2048	#396 	 loss:0.672 	 acc:0.686
score: 2048	#397 	 loss:0.681 	 acc:0.683
score: 4096	#398 	 loss:0.677 	 acc:0.682
score: 2048	#399 	 loss:0.677 	 acc:0.680
score: 2048	#400 	 loss:0.675 	 acc:0.679
score: 1024	#401 	 loss:0.674 	 acc:0.686
score: 2048	#402 	 loss:0.680 	 acc:0.678
score: 512	#403 	 loss:0.675 	 acc:0.678
score: 1024	#404 	 loss:0.681 	 acc:0.677
score: 4096	#405 	 loss:0.682 	 acc:0.675
score: 2048	#406 	 loss:0.682 	 acc:0.686
score: 2048	#407 	 loss:0.669 	 acc:0.684
score: 2048	#408 	 loss:0.681 	 acc:0.677
score: 2048	#409 	 loss:0.680 	 acc:0.679
score: 256	#410 	 loss:0.674 	 acc:0.685
score: 2048	#411 	 loss:0.681 	 acc:0.680
score: 512	#412 	 loss:0.676 	 acc:0.683
score: 1024	#413 	 loss:0.676 	 acc:0.682
score: 2048	#414 	 loss:0.681 	 acc:0.678
score: 2048	#415 	 loss:0.681 	 acc:0.677
score: 2048	#416 	 loss:0.677 	 acc:0.677
score: 2048	#417 	 loss:0.673 	 acc:0.685
score: 2048	#418 	 loss:0.680 	 acc:0.679
score: 2048	#419 	 loss:0.670 	 acc:0.686
